ID,StartDate,EndDate,Finished,gender,sexuality,white,black,native,asian,hispanic,multi,other,socialsci,natphysci,stem,artshum,otherstudy,gpa,fraternity,sorority,geninclus,nogreek,legacy,income,finanaid,athlevel,ideology,party,clinton,sanders,trump,vote,debt,loans,loansamt,ploans,ploansamt,sateduc,satintvol,satoffterm,housing,sexassault,greeklife,Phjob,admin,BLM,divest,theD,review,alcohol,drugs,sex,sleep,bema,centergreen,preslawn,tophop,stepshall,fiftyyard,stacks,sevennone,lous,ledyard,decade,challnone,homcome,wintercar,greenkey,sophsum,docfirst,gradstate,gradplans,gradwork,gradsalary,tenyears
R_w5iFj96TlLd4NwZ,5/27/2016 16:28,5/27/2016 16:33,1,1,1,1,,,,,,,1,,,,,5,,,,1,2,4,2,1,4,5,5,2,4,5,2,2,,2,,4,4,1,4,4,3,5,4,5,3,2,2,4,2,5,9,,,,,1,,,,,,,,2,4,1,3,5,30,7,10,3,10
R_eFGl77pZPlQPcsR,5/27/2016 16:30,5/27/2016 16:33,1,2,1,1,,,,,,,1,,,,,1,,1,,,2,6,2,1,1,1,1,2,5,1,2,2,,2,,1,1,1,2,2,2,5,5,2,2,3,3,4,3,5,9,,,,,,,1,,1,,1,,4,3,5,1,2,21,3,3,6,2
R_2uCckMfuHlAAoLV,5/27/2016 16:31,5/27/2016 16:34,1,2,1,1,,,,,,,,,,1,,2,,1,,,1,4,2,4,1,1,4,1,5,1,2,2,,2,,1,2,1,2,2,3,3,3,2,2,2,5,4,3,4,9,1,,,,,,,,,,,,4,5,3,2,1,32,2,2,3,2
R_3EShykb1NBik16i,5/27/2016 16:34,5/27/2016 16:38,1,2,1,,,,1,,,,1,,,,,1,,1,,,2,4,1,4,3,2,2,4,5,1,1,1,17000,2,,3,1,1,4,1,3,3,4,5,5,3,3,4,1,3,8,,,,,,,,,1,,,,1,4,2,5,3,5,2,5,6,5
R_3qpQ4aMWu2EuKuA,5/27/2016 16:35,5/27/2016 16:38,1,2,1,1,,,,,,,,,,1,,2,,1,,,1,6,2,2,2,3,2,3,5,1,2,2,,2,,1,1,2,2,3,3,2,3,3,2,2,4,4,1,2,9,,,,,,,,,,,,,3,5,4,2,1,29,2,2,3,11
R_2tkXTEpqTFKYtxF,5/27/2016 16:34,5/27/2016 16:40,1,2,1,,,,1,,,,1,,,,,4,,1,,,2,4,1,2,2,1,1,2,5,1,1,1,"15,000",2,,1,3,1,3,3,5,4,4,3,1,3,3,5,4,5,9,1,1,,1,,,1,,1,1,1,,4,5,3,1,2,32,2,12,4,12
R_qQJ6aczuMrH8sjT,5/27/2016 16:38,5/27/2016 16:41,1,1,1,1,,,,,,,1,,,,,2,,,,1,1,7,2,2,1,1,4,2,5,1,2,2,,2,,2,4,4,1,1,1,1,1,2,2,5,5,5,1,5,8,1,1,1,1,1,1,1,,1,,,,2,4,5,3,1,29,1,14,8,8
R_1imkPYchEHPs8qt,5/27/2016 16:38,5/27/2016 16:42,1,2,1,,,,,1,,,1,,,,,3,,1,,,2,4,1,4,1,1,1,1,5,1,2,2,,2,,1,1,2,5,4,5,4,5,2,3,3,5,5,4,5,7,1,,,,,,1,,,,,,3,4,2,1,5,21,2,3,4,13
R_2bV0sA2iaXaxGcI,5/27/2016 16:40,5/27/2016 16:42,1,2,1,1,,,,,,,1,,,1,,2,,,,1,2,3,1,4,2,4,3,3,5,5,2,2,,2,,1,2,1,3,3,3,3,3,3,3,3,3,2,1,1,7,,,,,,,,,1,,,,3,5,4,1,2,32,1,,,7
R_2CJ0HJ3d96M6psK,5/27/2016 16:42,5/27/2016 16:45,1,1,1,1,,,,,,,,,1,,,2,,,,1,2,4,1,2,4,6,4,4,4,3,1,1,20000,2,,1,1,1,5,3,5,3,5,5,5,5,2,5,1,1,10,,,,,,,,,,,,,3,5,2,1,4,5,2,5,6,5
R_3kyP3VzO4M743fQ,5/27/2016 16:44,5/27/2016 16:47,1,1,1,1,,,,,,,,,1,,,3,,,,1,2,7,2,1,3,6,4,5,5,3,2,2,,2,,4,5,4,4,3,4,4,4,5,5,2,3,4,1,2,8,,,,,,,,,,,,,2,3,1,5,4,21,2,3,4,4
R_2pX1uv917zsJrDc,5/27/2016 16:47,5/27/2016 16:50,1,1,2,1,,1,,,,,,,,1,,4,,,,1,2,1,1,4,2,3,2,1,5,1,2,2,,2,,2,3,3,3,2,2,2,3,2,4,3,5,5,1,4,7,,,,,,,,,1,,,,3,4,5,1,2,21,1,14,1,1
R_p3G8CIcLArLbGNj,5/27/2016 16:50,5/27/2016 16:54,1,1,2,1,,,,1,1,,1,,,1,,3,1,,,,2,3,1,4,3,5,1,4,4,1,2,2,,1,,2,3,1,5,2,5,4,4,3,4,4,4,5,1,2,7,,,,,,,,,1,,,,3,5,1,4,2,33,2,3,4,6
R_2wSjKm2Qdi6hHdK,5/27/2016 16:49,5/27/2016 16:54,1,1,1,,,,,,,1,1,,,,,5,1,,1,,2,8,1,1,2,3,5,2,5,4,1,1,"30,000",2,,5,5,5,5,5,5,5,5,4,5,4,5,1,1,1,6,,,,,,,,,,,,,4,2,3,1,5,2,8,12,3,13
R_24inrkeUXxoSGBR,5/27/2016 16:54,5/27/2016 16:58,1,2,1,1,,,,,,,1,,,,,2,,1,,,2,4,1,2,1,1,1,2,5,1,2,2,,2,,2,2,2,5,3,5,5,5,5,2,2,4,5,3,4,9,1,1,,,,,1,,,,,,1,3,2,5,4,32,2,3,4,3
